[44, 23, 13, 17, 22, 31, 9, 19, 10, 20, 0, 11, 11, 40, 14, 15, 18, 17, 18, 13, 23, 15, 13, 21, 22, 13, 31, 13, 15, 13, 47, 13, 13, 16, 18, 22, 18, 13, 13, 15, 18, 15, 13, 18, 15, 39, 23, 46, 24, 39, 19, 37, 18, 16, 15, 13, 28, 21, 26, 25, 21, 28, 16, 36, 12, 33, 13, 20, 12, 13, 14, 13, 36, 24, 23, 21, 23, 25, 14, 28, 19, 15, 13, 13, 16, 13, 19, 32, 27, 26, 23, 34, 23, 12, 76, 22, 45, 15, 22, 15, 26, 33, 16, 34, 12, 22, 63, 15, 13, 30, 16, 14, 11, 12, 15, 16, 24, 13, 14, 18, 18, 59, 40, 18, 49, 36, 31, 45, 28, 29, 17]
[43, 24, 12, 17, 21, 29, 9, 20, 12, 20, 11, 0, 10, 40, 13, 14, 18, 17, 16, 11, 22, 14, 10, 20, 19, 12, 30, 11, 14, 12, 46, 12, 12, 16, 16, 22, 18, 10, 12, 14, 18, 15, 12, 16, 17, 39, 25, 47, 21, 40, 18, 36, 17, 16, 14, 12, 26, 22, 26, 25, 21, 28, 16, 36, 11, 33, 13, 22, 11, 13, 14, 12, 35, 24, 24, 21, 23, 26, 14, 29, 19, 15, 12, 12, 16, 13, 19, 31, 25, 28, 21, 33, 23, 12, 76, 23, 46, 14, 23, 14, 25, 35, 15, 32, 8, 21, 65, 14, 12, 28, 14, 12, 12, 10, 14, 16, 24, 12, 14, 18, 18, 57, 38, 17, 49, 34, 31, 46, 25, 30, 16]
[41, 24, 10, 15, 22, 28, 12, 19, 14, 18, 11, 10, 0, 38, 11, 12, 16, 16, 16, 9, 23, 13, 10, 20, 20, 10, 28, 13, 14, 9, 46, 10, 10, 16, 18, 21, 17, 12, 10, 12, 18, 15, 10, 18, 17, 41, 24, 47, 22, 41, 19, 36, 16, 16, 14, 11, 28, 20, 26, 25, 22, 27, 16, 37, 10, 33, 13, 22, 10, 13, 14, 10, 37, 24, 24, 21, 23, 26, 12, 29, 18, 15, 10, 12, 16, 13, 20, 31, 24, 28, 23, 33, 23, 10, 78, 27, 44, 12, 22, 12, 26, 34, 15, 33, 9, 21, 64, 13, 12, 29, 14, 11, 11, 10, 12, 16, 23, 10, 14, 17, 18, 58, 38, 19, 47, 30, 31, 44, 24, 32, 17]
[44, 40, 38, 37, 38, 37, 40, 41, 40, 40, 40, 40, 38, 0, 35, 37, 38, 41, 40, 38, 35, 40, 40, 40, 38, 38, 42, 40, 40, 39, 44, 40, 39, 39, 40, 38, 40, 40, 40, 41, 40, 40, 40, 40, 40, 42, 38, 45, 40, 39, 41, 41, 40, 40, 41, 39, 37, 38, 39, 38, 40, 35, 38, 30, 40, 35, 37, 39, 40, 40, 40, 40, 40, 38, 40, 33, 40, 41, 42, 39, 40, 40, 40, 37, 30, 39, 40, 40, 38, 42, 40, 36, 40, 40, 77, 40, 46, 41, 39, 39, 40, 42, 42, 38, 40, 39, 64, 38, 42, 40, 42, 40, 39, 39, 39, 39, 38, 40, 38, 38, 34, 58, 42, 40, 49, 38, 38, 46, 38, 38, 40]
[44, 25, 9, 18, 23, 35, 15, 20, 15, 23, 14, 13, 11, 35, 0, 5, 18, 17, 17, 11, 23, 13, 9, 21, 23, 10, 30, 14, 14, 11, 49, 9, 11, 17, 17, 23, 19, 13, 10, 9, 17, 14, 11, 17, 16, 42, 26, 50, 25, 41, 18, 38, 17, 15, 14, 13, 29, 23, 26, 25, 23, 28, 17, 37, 9, 34, 14, 23, 8, 14, 15, 10, 37, 23, 24, 22, 23, 26, 11, 30, 20, 16, 10, 12, 16, 14, 22, 33, 29, 28, 24, 36, 23, 11, 80, 28, 47, 12, 23, 7, 27, 36, 17, 36, 14, 23, 65, 16, 14, 34, 18, 15, 13, 10, 10, 14, 24, 9, 15, 18, 16, 61, 41, 22, 51, 37, 31, 47, 29, 33, 18]
[46, 25, 10, 19, 24, 36, 16, 20, 16, 24, 15, 14, 12, 37, 5, 0, 18, 17, 18, 12, 24, 13, 10, 22, 24, 11, 29, 15, 14, 12, 49, 10, 11, 18, 17, 24, 20, 14, 11, 8, 17, 15, 12, 17, 17, 43, 27, 51, 25, 42, 18, 38, 18, 16, 15, 14, 30, 24, 27, 26, 24, 29, 17, 37, 10, 34, 15, 23, 9, 15, 16, 11, 37, 25, 24, 23, 24, 26, 11, 31, 21, 17, 11, 13, 17, 15, 23, 34, 29, 28, 25, 37, 22, 12, 81, 29, 47, 12, 24, 7, 28, 37, 17, 37, 15, 24, 65, 17, 14, 35, 18, 16, 14, 11, 8, 12, 25, 10, 16, 19, 18, 62, 42, 23, 51, 38, 33, 48, 30, 34, 19]
[39, 26, 18, 19, 20, 36, 18, 17, 18, 21, 18, 18, 16, 38, 18, 18, 0, 14, 12, 18, 25, 18, 16, 14, 22, 18, 25, 16, 18, 17, 45, 18, 18, 17, 10, 21, 18, 16, 18, 18, 12, 13, 18, 11, 15, 36, 19, 44, 21, 38, 14, 28, 12, 12, 17, 17, 29, 22, 24, 24, 24, 29, 18, 38, 18, 35, 18, 24, 18, 18, 18, 18, 38, 26, 26, 23, 25, 26, 18, 30, 20, 18, 18, 18, 18, 18, 23, 32, 28, 22, 25, 37, 21, 16, 77, 27, 45, 15, 23, 18, 24, 37, 18, 37, 18, 25, 63, 18, 18, 35, 18, 18, 17, 18, 17, 18, 26, 18, 18, 17, 20, 62, 39, 21, 49, 35, 33, 48, 30, 33, 19]
[42, 25, 17, 19, 20, 36, 17, 17, 17, 22, 17, 17, 16, 41, 17, 17, 14, 0, 14, 17, 25, 17, 17, 18, 24, 17, 30, 17, 17, 17, 47, 17, 17, 18, 14, 23, 19, 17, 17, 17, 14, 14, 17, 15, 15, 40, 24, 48, 23, 39, 16, 32, 14, 13, 16, 17, 29, 23, 26, 23, 24, 29, 18, 38, 17, 35, 17, 22, 17, 17, 17, 17, 39, 26, 26, 23, 25, 26, 17, 31, 19, 17, 17, 17, 18, 17, 23, 34, 30, 23, 24, 37, 19, 13, 76, 26, 43, 13, 23, 17, 24, 37, 17, 37, 17, 25, 62, 17, 17, 35, 18, 16, 16, 17, 17, 17, 26, 17, 17, 19, 20, 61, 38, 20, 46, 35, 33, 47, 30, 33, 19]
[41, 26, 16, 19, 18, 34, 16, 17, 18, 20, 18, 16, 16, 40, 17, 18, 12, 14, 0, 14, 22, 16, 10, 10, 16, 12, 29, 15, 16, 12, 39, 12, 12, 16, 8, 20, 16, 14, 12, 16, 8, 7, 12, 9, 9, 28, 16, 39, 14, 33, 9, 27, 6, 6, 17, 18, 25, 24, 25, 22, 24, 28, 18, 36, 16, 33, 17, 24, 16, 18, 18, 16, 37, 24, 25, 21, 25, 26, 17, 31, 21, 18, 16, 18, 17, 18, 23, 31, 24, 22, 23, 33, 21, 16, 78, 27, 45, 15, 21, 18, 21, 37, 18, 35, 16, 25, 63, 18, 16, 31, 18, 18, 18, 16, 18, 18, 26, 16, 16, 18, 20, 60, 35, 19, 47, 34, 30, 46, 28, 29, 19]
[42, 24, 6, 16, 22, 31, 14, 21, 14, 21, 13, 11, 9, 38, 11, 12, 18, 17, 14, 0, 21, 11, 8, 18, 16, 7, 27, 9, 8, 8, 42, 8, 8, 14, 16, 20, 16, 8, 6, 10, 16, 14, 8, 16, 15, 36, 23, 47, 21, 39, 17, 34, 14, 14, 13, 10, 24, 18, 24, 21, 22, 28, 16, 35, 10, 31, 13, 22, 10, 13, 14, 10, 37, 24, 24, 19, 23, 26, 12, 29, 19, 15, 10, 12, 15, 13, 21, 32, 25, 28, 23, 33, 23, 10, 79, 27, 46, 12, 22, 12, 26, 35, 17, 33, 12, 22, 65, 14, 14, 32, 17, 13, 12, 10, 12, 16, 20, 10, 14, 18, 18, 57, 40, 19, 50, 31, 32, 46, 25, 30, 17]
[40, 24, 19, 25, 25, 32, 23, 25, 23, 25, 23, 22, 23, 35, 23, 24, 25, 25, 22, 21, 0, 20, 20, 21, 22, 19, 31, 21, 21, 21, 41, 18, 19, 23, 22, 21, 18, 21, 18, 18, 20, 16, 20, 21, 17, 37, 24, 38, 24, 31, 20, 34, 22, 18, 23, 23, 27, 23, 26, 24, 23, 24, 22, 32, 23, 28, 23, 23, 23, 23, 23, 23, 37, 26, 24, 22, 23, 26, 25, 29, 23, 23, 23, 21, 18, 23, 23, 33, 27, 26, 23, 33, 25, 23, 77, 27, 45, 25, 23, 24, 28, 35, 23, 32, 23, 23, 64, 23, 25, 33, 25, 23, 23, 21, 25, 25, 24, 21, 21, 23, 21, 58, 40, 23, 50, 34, 32, 45, 26, 32, 23]
[42, 24, 9, 16, 22, 34, 16, 21, 16, 22, 15, 14, 13, 40, 13, 13, 18, 17, 16, 11, 20, 0, 13, 16, 15, 9, 25, 12, 6, 11, 43, 12, 9, 16, 17, 20, 14, 13, 8, 6, 16, 10, 10, 17, 9, 38, 22, 47, 22, 38, 16, 32, 16, 12, 12, 12, 26, 21, 25, 22, 24, 29, 18, 37, 13, 33, 15, 24, 12, 15, 16, 13, 39, 23, 26, 21, 24, 24, 13, 30, 20, 15, 13, 14, 16, 15, 22, 32, 26, 26, 24, 35, 22, 13, 80, 29, 46, 13, 22, 13, 26, 35, 17, 35, 15, 25, 62, 17, 14, 35, 18, 16, 14, 11, 13, 16, 24, 11, 14, 20, 20, 60, 40, 23, 47, 36, 32, 45, 28, 32, 18]
[44, 24, 8, 17, 21, 34, 12, 21, 14, 22, 13, 10, 10, 40, 9, 10, 16, 17, 10, 8, 20, 13, 0, 12, 16, 5, 25, 5, 10, 6, 44, 4, 6, 10, 10, 16, 12, 4, 5, 9, 14, 10, 6, 10, 12, 33, 19, 43, 18, 37, 14, 33, 10, 10, 15, 12, 26, 22, 25, 25, 22, 28, 16, 37, 8, 33, 13, 22, 8, 13, 14, 9, 35, 24, 23, 21, 23, 26, 11, 29, 19, 15, 9, 12, 16, 13, 21, 32, 24, 26, 21, 33, 23, 10, 79, 27, 46, 12, 22, 10, 25, 35, 17, 35, 11, 23, 65, 15, 12, 31, 16, 14, 12, 9, 12, 16, 24, 8, 14, 18, 18, 60, 38, 19, 50, 36, 32, 46, 28, 30, 15]
[42, 25, 18, 21, 21, 34, 19, 20, 21, 24, 21, 20, 20, 40, 21, 22, 14, 18, 10, 18, 21, 16, 12, 0, 16, 16, 25, 13, 16, 16, 40, 16, 16, 22, 7, 19, 16, 12, 16, 18, 12, 10, 16, 9, 13, 30, 14, 38, 18, 34, 13, 30, 10, 10, 19, 22, 26, 24, 26, 25, 24, 30, 22, 37, 20, 33, 22, 24, 19, 22, 22, 20, 37, 26, 26, 21, 25, 23, 22, 30, 22, 20, 19, 22, 20, 22, 23, 33, 28, 22, 23, 33, 22, 20, 79, 27, 46, 19, 19, 21, 23, 37, 22, 35, 20, 25, 61, 21, 20, 33, 22, 22, 20, 20, 22, 22, 25, 20, 20, 22, 22, 60, 39, 21, 49, 36, 34, 47, 28, 29, 22]
