[27, 25, 25, 25, 25, 29, 41, 43, 31, 27, 0, 25, 26, 26, 26, 23, 27, 29, 25, 34, 28, 27, 37, 32, 29, 26, 43, 27, 60, 27, 28, 29, 30, 26, 25, 62, 27, 35, 27, 27, 28, 24, 27, 75, 27, 29, 44, 45, 51, 55, 26]
[6, 10, 3, 4, 5, 26, 41, 45, 29, 19, 25, 0, 15, 22, 21, 20, 20, 20, 20, 32, 19, 26, 35, 31, 27, 16, 46, 21, 59, 13, 20, 25, 27, 10, 6, 62, 18, 33, 16, 14, 15, 15, 17, 73, 12, 26, 44, 46, 51, 53, 12]
[16, 12, 15, 15, 16, 23, 37, 44, 29, 19, 26, 15, 0, 11, 21, 20, 20, 22, 18, 32, 14, 24, 32, 27, 23, 16, 41, 18, 54, 17, 20, 29, 24, 17, 16, 57, 18, 35, 16, 17, 19, 16, 17, 73, 17, 26, 38, 42, 47, 51, 17]
[24, 19, 22, 22, 23, 25, 37, 43, 31, 24, 26, 22, 11, 0, 27, 25, 25, 27, 19, 33, 20, 26, 31, 29, 25, 22, 42, 22, 55, 25, 25, 30, 26, 24, 23, 58, 23, 34, 24, 24, 27, 22, 25, 72, 25, 27, 37, 43, 47, 54, 25]
[20, 20, 21, 21, 21, 28, 43, 45, 33, 21, 26, 21, 21, 27, 0, 9, 19, 20, 24, 33, 21, 27, 38, 33, 30, 20, 48, 23, 61, 21, 22, 30, 30, 21, 21, 63, 21, 37, 19, 21, 18, 21, 21, 75, 21, 26, 45, 46, 52, 54, 21]
[20, 19, 20, 21, 21, 26, 41, 43, 29, 21, 23, 20, 20, 25, 9, 0, 21, 15, 23, 31, 21, 27, 36, 29, 26, 21, 46, 23, 57, 22, 22, 29, 29, 22, 21, 61, 22, 35, 21, 20, 18, 21, 20, 75, 21, 26, 41, 46, 50, 53, 21]
[20, 20, 20, 20, 20, 26, 41, 43, 29, 18, 27, 20, 20, 25, 19, 21, 0, 22, 22, 32, 22, 24, 34, 32, 28, 20, 46, 24, 59, 20, 22, 27, 30, 20, 20, 60, 20, 34, 19, 19, 18, 21, 20, 73, 20, 26, 43, 46, 48, 53, 20]
[20, 20, 20, 22, 21, 26, 41, 45, 31, 24, 29, 20, 22, 27, 20, 15, 22, 0, 24, 32, 22, 26, 33, 32, 26, 22, 47, 24, 61, 22, 24, 27, 30, 23, 20, 62, 24, 37, 23, 22, 22, 21, 22, 75, 22, 26, 45, 46, 51, 55, 22]
[22, 19, 20, 20, 20, 26, 39, 38, 26, 20, 25, 20, 18, 19, 24, 23, 22, 24, 0, 28, 21, 20, 26, 30, 25, 21, 43, 23, 54, 21, 24, 27, 29, 22, 20, 59, 21, 30, 22, 18, 22, 19, 18, 74, 22, 26, 39, 42, 45, 49, 22]
[31, 30, 32, 32, 33, 34, 42, 41, 29, 30, 34, 32, 32, 33, 33, 31, 32, 32, 28, 0, 29, 21, 26, 26, 32, 30, 46, 31, 56, 32, 34, 32, 34, 33, 32, 60, 32, 35, 34, 30, 32, 32, 30, 75, 32, 34, 42, 44, 48, 47, 34]
