[52, 24, 23, 22, 23, 26, 46, 25, 24, 26, 20, 26, 26, 54, 26, 0, 25, 24, 24, 64, 57, 28, 28, 31, 29, 36, 19, 25, 28, 27, 27, 26, 21, 19, 25, 28, 27, 43, 24, 7, 21]
[51, 12, 8, 16, 5, 7, 44, 8, 19, 7, 12, 7, 7, 51, 6, 25, 0, 2, 5, 64, 57, 18, 9, 32, 29, 40, 14, 12, 11, 11, 11, 12, 23, 16, 21, 13, 12, 48, 12, 18, 18]
[53, 14, 9, 16, 5, 9, 46, 9, 21, 9, 12, 9, 9, 53, 8, 24, 2, 0, 7, 65, 57, 18, 8, 32, 29, 40, 14, 12, 10, 10, 10, 12, 23, 16, 21, 12, 12, 48, 11, 18, 20]
[52, 14, 6, 18, 8, 4, 45, 6, 20, 4, 14, 4, 4, 52, 8, 24, 5, 7, 0, 66, 59, 20, 10, 34, 26, 38, 14, 12, 7, 7, 8, 12, 23, 16, 18, 10, 12, 45, 10, 17, 17]
[62, 64, 62, 63, 65, 66, 69, 63, 61, 66, 61, 66, 66, 60, 64, 64, 64, 65, 66, 0, 61, 69, 73, 70, 70, 68, 70, 71, 73, 71, 71, 71, 69, 70, 71, 71, 71, 51, 66, 64, 65]
[62, 56, 57, 57, 59, 59, 59, 59, 56, 59, 54, 59, 59, 62, 55, 57, 57, 57, 59, 61, 0, 51, 53, 40, 54, 54, 53, 54, 57, 57, 57, 56, 51, 53, 51, 54, 55, 47, 57, 55, 57]
[58, 22, 20, 22, 20, 20, 53, 20, 26, 20, 20, 20, 20, 58, 18, 28, 18, 18, 20, 69, 51, 0, 12, 27, 27, 40, 17, 17, 18, 16, 16, 18, 21, 17, 20, 18, 16, 44, 20, 22, 23]
[60, 17, 11, 20, 9, 10, 53, 11, 26, 10, 16, 10, 10, 60, 13, 28, 9, 8, 10, 73, 53, 12, 0, 29, 27, 40, 13, 12, 6, 7, 6, 11, 21, 13, 18, 11, 10, 46, 13, 21, 23]
[55, 34, 34, 33, 34, 32, 49, 34, 30, 32, 32, 32, 32, 57, 32, 31, 32, 32, 34, 70, 40, 27, 29, 0, 33, 39, 30, 32, 31, 29, 29, 33, 31, 30, 32, 32, 33, 45, 32, 30, 30]
[46, 29, 29, 27, 29, 26, 42, 29, 22, 26, 29, 26, 26, 46, 29, 29, 29, 29, 26, 70, 54, 27, 27, 33, 0, 36, 24, 25, 22, 20, 21, 23, 26, 26, 16, 25, 27, 41, 29, 28, 28]
